Nodes on the 9-th layer
Polyline 1, Number of points: 81
x y thickness
40.500000 0.950603 0.500065
40.010981 1.054486 0.122427
39.513554 1.100523 0.130311
39.013752 1.089167 0.132491
38.514190 1.068269 0.132757
38.014465 1.052084 0.131342
37.514548 1.043021 0.130863
37.014582 1.037792 0.129958
36.514589 1.035689 0.129430
36.014596 1.033594 0.129034
35.514597 1.033658 0.128901
35.014598 1.033460 0.129006
34.514601 1.035043 0.128704
34.014601 1.035530 0.128662
33.514610 1.038382 0.128973
33.014615 1.040687 0.129183
32.514620 1.042889 0.129606
32.014631 1.046130 0.129781
31.514632 1.047028 0.130199
31.014633 1.046173 0.130118
30.514640 1.043561 0.130350
30.014645 1.041339 0.129918
29.514653 1.038546 0.129480
29.014656 1.037045 0.129412
28.514656 1.037293 0.129096
28.014656 1.037569 0.129108
27.514658 1.038941 0.129228
27.014661 1.040842 0.129228
26.514668 1.043311 0.129739
26.014676 1.046208 0.130114
25.514683 1.048879 0.130288
25.014688 1.050971 0.130693
24.514694 1.053582 0.131033
24.014699 1.055618 0.131263
23.514704 1.058027 0.131526
23.014709 1.060032 0.131706
22.514710 1.061066 0.131935
22.014711 1.062009 0.132044
21.514711 1.062950 0.132111
21.014713 1.063981 0.132043
20.514717 1.065976 0.132171
20.014719 1.067644 0.132362
19.514721 1.069091 0.132542
19.014722 1.069737 0.132708
18.514722 1.069584 0.132764
18.014722 1.068999 0.132771
17.514726 1.067191 0.132752
17.014734 1.064400 0.132473
16.514740 1.061827 0.132206
16.014747 1.059171 0.131852
15.514761 1.055506 0.131548
15.014777 1.051539 0.131200
14.514791 1.047700 0.130816
14.014806 1.043885 0.130411
13.514816 1.040635 0.129929
13.014824 1.037819 0.129408
12.514832 1.035160 0.129347
12.014832 1.034865 0.128969
11.514834 1.036196 0.128812
11.014838 1.038128 0.129158
10.514840 1.037298 0.129040
10.014845 1.034979 0.129492
9.514849 1.033256 0.128932
9.014849 1.033258 0.128990
8.514851 1.031839 0.128679
8.014851 1.031968 0.128506
7.514852 1.031136 0.128083
7.014854 1.032597 0.128742
6.514856 1.034036 0.128437
6.014862 1.036504 0.128793
5.514865 1.038264 0.128983
5.014894 1.043514 0.129418
4.514914 1.047934 0.130186
4.014940 1.053079 0.130016
3.514974 1.058879 0.130816
3.014996 1.063492 0.131550
2.515003 1.066003 0.132318
2.015003 1.066237 0.132026
1.515090 1.057765 0.131973
1.015964 1.029343 0.130447
1.000000 1.028162 0.127252


Nodes on the 10-th layer
Polyline 1, Number of points: 82
x y thickness
41.000000 0.942536 0.500065
40.517092 1.072131 0.122427
40.029755 1.183438 0.130311
39.532695 1.231809 0.132491
39.032879 1.222394 0.132757
38.533361 1.200528 0.131342
38.033661 1.183637 0.130863
37.533767 1.173349 0.129958
37.033810 1.167429 0.129430
36.533819 1.164804 0.129034
36.033826 1.162577 0.128901
35.533827 1.162661 0.129006
35.033828 1.162172 0.128704
34.533831 1.163645 0.128662
34.033832 1.164485 0.128973
33.533841 1.167458 0.129183
33.033849 1.170206 0.129606
32.533855 1.172587 0.129781
32.033868 1.176207 0.130199
31.533869 1.177112 0.130118
31.033870 1.176556 0.130350
30.533879 1.173582 0.129918
30.033887 1.170905 0.129480
29.533895 1.168067 0.129412
29.033899 1.166199 0.129096
28.533899 1.166392 0.129108
28.033899 1.166786 0.129228
27.533901 1.168117 0.129228
27.033907 1.170508 0.129739
26.533915 1.173332 0.130114
26.033924 1.176387 0.130288
25.533934 1.179471 0.130693
25.033940 1.181925 0.131033
24.533948 1.184747 0.131263
24.033953 1.187067 0.131526
23.533960 1.189642 0.131706
23.033965 1.191890 0.131935
22.533967 1.193071 0.132044
22.033968 1.194083 0.132111
21.533968 1.194957 0.132043
21.033970 1.196113 0.132171
20.533974 1.198262 0.132362
20.033978 1.200122 0.132542
19.533981 1.201744 0.132708
19.033981 1.202477 0.132764
18.533981 1.202360 0.132771
18.033982 1.201773 0.132752
17.533986 1.199735 0.132473
17.033995 1.196715 0.132206
16.534004 1.193780 0.131852
16.034013 1.190824 0.131548
15.534029 1.186851 0.131200
15.034047 1.182511 0.130816
14.534065 1.178263 0.130411
14.034084 1.173965 0.129929
13.534098 1.170171 0.129408
13.034107 1.167276 0.129347
12.534116 1.164234 0.128969
12.034117 1.163688 0.128812
11.534120 1.165303 0.129158
11.034123 1.167095 0.129040
10.534125 1.166822 0.129492
10.034133 1.164002 0.128932
9.534137 1.162314 0.128990
9.034137 1.161937 0.128679
8.534139 1.160400 0.128506
8.034140 1.160045 0.128083
7.534140 1.159910 0.128742
7.034141 1.160978 0.128437
6.534144 1.162774 0.128793
6.034151 1.165393 0.128983
5.534156 1.167615 0.129418
5.034192 1.173505 0.130186
4.534211 1.177785 0.130016
4.034246 1.183703 0.130816
3.534289 1.190214 0.131550
3.034318 1.195637 0.132318
2.534325 1.197933 0.132026
2.034326 1.198201 0.131973
1.534438 1.188558 0.130447
1.035453 1.157912 0.127252
1.000000 1.155055 0.126547


Nodes on the 11-th layer
Polyline 1, Number of points: 82
x y thickness
41.250000 0.981785 0.253062
40.771556 1.126898 0.118851
40.289243 1.258605 0.131059
39.797606 1.346804 0.140113
39.298227 1.361203 0.133787
38.798540 1.344070 0.131808
38.299026 1.322150 0.129469
37.799196 1.309309 0.130469
37.299305 1.299008 0.128426
36.799318 1.295809 0.129608
36.299333 1.291998 0.128237
35.799335 1.291905 0.129289
35.299336 1.290820 0.128388
34.799338 1.291714 0.128851
34.299339 1.292634 0.128595
33.799344 1.294769 0.128888
33.299357 1.298352 0.129604
32.799363 1.300696 0.129372
32.299377 1.304327 0.130039
31.799385 1.307050 0.130419
31.299386 1.307175 0.130324
30.799390 1.305436 0.130272
30.299402 1.301913 0.129584
29.799410 1.299123 0.129547
29.299419 1.296118 0.128926
28.799420 1.295302 0.129013
28.299421 1.295691 0.129115
27.799421 1.296584 0.129173
27.299426 1.298655 0.129415
26.799436 1.301868 0.130034
26.299446 1.304972 0.130205
25.799459 1.308590 0.130754
25.299469 1.311735 0.131112
24.799477 1.314623 0.131373
24.299486 1.317486 0.131650
23.799493 1.320142 0.131866
23.299500 1.322870 0.132172
22.799503 1.324624 0.132180
22.299504 1.325549 0.132003
21.799505 1.326416 0.131923
21.299506 1.327381 0.131882
20.799510 1.329333 0.132211
20.299515 1.331573 0.132438
19.799519 1.333495 0.132612
